1;80.108
2;109.039
3;108.689
4;104.919
5;106.812
6;80.6948
7;109.121
8;83.4654
9;85.3394
10;84.247
11;90.051
12;107.445
13;86.2506
14;95.5408
15;87.7264
16;75.5624
17;89.587
18;79.5742
19;96.0662
20;105.47
21;104.422
22;80.826
23;120.695
24;98.9114
25;95.9496
26;104.92
27;84.974
28;77.217
29;119.99
30;127.834
31;74.3308
32;113.769
33;98.2358
34;103.435
35;110.772
36;80.3956
37;83.794
38;76.546
39;120.495
40;82.8962
41;108.902
42;121.537
43;107.537
44;115.427
45;86.3772
46;100.665
47;89.132
48;80.0946
49;99.1926
50;110.687
51;109.787
52;104.458
53;82.2014
54;88.1718
55;110.921
56;95.62
57;111.591
58;102.479
59;80.216
60;113.498
61;71.281
62;68.565
63;107.233
64;109.554
65;69.6014
66;102.283
67;104.688
68;73.8284
69;107.682
70;119.445
71;116.389
72;85.4254
73;83.4776
74;77.838
75;116.705
76;99.0966
77;116.606
78;86.9864
79;88.9726
80;116.491
81;124.441
82;95.1712
83;104.35
84;81.927
85;89.4036
86;97.059
87;110.854
88;88.2386
89;90.3726
90;92.7424
91;78.6214
92;127.357
93;117.757
94;102.709
95;105.382
96;106.373
97;73.4366
98;89.4338
99;90.9082
100;113.058
